artist,title
The Chordettes ,Mr. Sandman
The Four Aces ,Love Is A Many-Splendored Thing
Joan Weber ,Let Me Go Lover
The Fontane Sisters ,Hearts Of Stone
Perez Prado & His Orchestra ,Cherry Pink and Apple Blossom White
Marvin Gaye,Let's Get It On
Bette Midler,The Rose
Elvis Presley,Love Me Tender
Bee Gees,How Deep Is Your Love
Mariah Carey,Love Takes Time
Commodores,Still
REO Speedwagon,Keep On Lovin' You
Al Green,Let's Stay Together
Boyz II Men,End Of The Road
The Jackso,I'll Be There
Sinead O'Connor,Nothing Compares 2 U
Sonny & Cher,I Got You Babe
Chris Isaak,Wicked Game
Eric Clapton,Wonderful Tonight
Journey,Faithfully
The Beatles,And I Love Her
Cheap Trick,The Flame
George Michael,Careless Whisper
The Carpenters,Superstar
Whitney Hous,I Will Always Love You
Diana Ross & Lionel Richie,Endless Love
"Roberta Flack & Peabo Bryson,""Tonight, I Celebrate My Love"""
Atlantic Starr,Always
Janet Jackson,That's The Way Love Goes
Jeffrey Osborne,On The Wings Of Love
Barbra Streisand & Barry Gibb,What Kind Of Fool
Elton John,Can You Feel The Love Tonight
Elton John,Your Song
Elton John,Something About The Way You Look Tonight
Morris Alb,Feelings
Alicia Keys,Fallin'
The Police,Every Breath You Take
Boyz II Men,I'll Make Love To You
Cyndi Lauper,Time After Time
Hamilton Joe Frank & Reynolds,Falling In Love
Olivia Newton-John,Hopelessly Devoted To You
Billy Joel,She's Always A Woman
Meat Loaf,I'd Do Anything For Love (But I Won't Do That)
Commodores,Three Times A Lady
Jeff Healey B,Angel Eyes
Andy Gibb,I Just Want To Be Your Everything
Roberta Flack,First Time Ever I Saw Your Face
The Jets,Make It Real
The Righteous Brothers,Unchained Melody
Genesis,In Too Deep
Andy Gibb,(Our Love) Don't Throw It All Away
Foreigner,I Want To Know What Love Is
Celine Dion,My Heart Will Go On
The Bangles,Eternal Flame
LeAnn Ri,How Do I Live
"Peter Frampton,""Baby, I Love Your Way"""
Mariah Carey,Hero
The Police,Wrapped Around Your Finger
Olivia Newton-John,I Honestly Love You
Aerosmith,I Don't Want To Miss A Thing
Damn Yankees,High Enough
David Gates,Goodbye Girl
Madonna,Crazy For You
Luther Vandross,Here And Now
Bonnie Ty,Total Eclipse Of The Heart
Eric Clapton,Tears In Heaven
Beach Boys,Wouldn't It Be Nice
Rod Stewart,Have I Told You Lately
Journey,Open Arms
Faith Hill,Breathe
Phil Collins,One More Night
The Troggs,Love Is All Around
The Pretenders,I'll Stand By You
